code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.01928,2019-03-18 09:30:00,36.46,36.46,36.46,36.46,0.0,0.0,51200,1968640.0,0.0,36.31
HK.01928,2019-03-18 09:31:00,36.46,36.11,36.51,36.01,0.0,0.0,257600,9857040.0,-0.9599561162918305,36.46
HK.01928,2019-03-18 09:32:00,36.11,36.06,36.11,36.01,0.0,0.0,18800,716160.0,-0.13846579894765204,36.11
HK.01928,2019-03-18 09:33:00,36.06,36.06,36.11,36.06,0.0,0.0,14400,548420.0,0.0,36.06
HK.01928,2019-03-18 09:34:00,36.06,36.11,36.11,36.06,0.0,0.0,15200,579100.0,0.13865779256793442,36.06
HK.01928,2019-03-18 09:35:00,36.11,36.06,36.11,36.01,0.0,0.0,28000,1065740.0,-0.13846579894765204,36.11
HK.01928,2019-03-18 09:36:00,36.01,35.86,36.01,35.76,0.0,0.0,175200,6632560.0,-0.5546311702717771,36.06
HK.01928,2019-03-18 09:37:00,35.81,35.91,35.91,35.81,0.0,0.0,26400,999960.0,0.13943112102620514,35.86
HK.01928,2019-03-18 09:38:00,35.86,35.81,35.86,35.81,0.0,0.0,22400,847320.0,-0.2784739626844732,35.91
HK.01928,2019-03-18 09:39:00,35.86,35.86,35.86,35.86,0.0,0.0,4400,166540.0,0.13962580284835843,35.81
HK.01928,2019-03-18 09:40:00,35.86,35.81,35.86,35.81,0.0,0.0,20000,756880.0,-0.13943112102620514,35.86
HK.01928,2019-03-18 09:41:00,35.76,35.76,35.76,35.76,0.0,0.0,400,15100.0,-0.13962580284837828,35.81
HK.01928,2019-03-18 09:42:00,35.81,35.61,35.81,35.61,0.0,0.0,90000,3392480.0,-0.41946308724831816,35.76
HK.01928,2019-03-18 09:43:00,35.66,35.71,35.71,35.66,0.0,0.0,110000,4141760.0,0.2808199943836041,35.61
HK.01928,2019-03-18 09:44:00,35.66,35.76,35.76,35.66,0.0,0.0,12000,452800.0,0.14001680201623398,35.71
HK.01928,2019-03-18 09:45:00,35.76,35.71,35.76,35.71,0.0,0.0,12800,482680.0,-0.1398210290827661,35.76
HK.01928,2019-03-18 09:46:00,35.71,35.71,35.76,35.71,0.0,0.0,2000,75460.0,0.0,35.71
HK.01928,2019-03-18 09:47:00,35.76,35.86,35.96,35.76,0.0,0.0,144400,5457340.0,0.42005040604872185,35.71
HK.01928,2019-03-18 09:48:00,35.86,35.86,35.86,35.76,0.0,0.0,80400,3037800.0,0.0,35.86
HK.01928,2019-03-18 09:49:00,35.86,36.11,36.11,35.86,0.0,0.0,92000,3491620.0,0.6971556051310653,35.86
HK.01928,2019-03-18 09:50:00,36.16,35.86,36.16,35.86,0.0,0.0,56400,2139180.0,-0.6923289947382997,36.11
HK.01928,2019-03-18 09:51:00,35.91,36.11,36.11,35.91,0.0,0.0,46000,1745120.0,0.6971556051310653,35.86
HK.01928,2019-03-18 09:52:00,36.11,36.01,36.11,36.01,0.0,0.0,13200,502140.0,-0.2769315978953238,36.11
HK.01928,2019-03-18 09:53:00,36.06,36.11,36.11,36.01,0.0,0.0,14800,563180.0,0.277700638711473,36.01
HK.01928,2019-03-18 09:54:00,36.11,36.06,36.11,36.06,0.0,0.0,7200,274180.0,-0.13846579894765204,36.11
HK.01928,2019-03-18 09:55:00,36.01,36.11,36.11,36.01,0.0,0.0,34400,1310360.0,0.13865779256793442,36.06
HK.01928,2019-03-18 09:56:00,36.11,36.06,36.16,36.01,0.0,0.0,176400,6719960.0,-0.13846579894765204,36.11
HK.01928,2019-03-18 09:57:00,36.06,36.06,36.11,36.06,0.0,0.0,28800,1097240.0,0.0,36.06
HK.01928,2019-03-18 09:58:00,36.06,36.11,36.16,36.06,0.0,0.0,55600,2118180.0,0.13865779256793442,36.06
HK.01928,2019-03-18 09:59:00,36.06,36.06,36.06,36.01,0.0,0.0,11600,441360.0,-0.13846579894765204,36.11
HK.01928,2019-03-18 10:00:00,36.06,36.06,36.11,36.06,0.0,0.0,27200,1035080.0,0.0,36.06
HK.01928,2019-03-18 10:01:00,36.01,36.06,36.06,36.01,0.0,0.0,9200,350040.0,0.0,36.06
HK.01928,2019-03-18 10:02:00,36.01,35.96,36.01,35.96,0.0,0.0,8400,319180.0,-0.27731558513588855,36.06
HK.01928,2019-03-18 10:03:00,35.96,35.96,35.96,35.96,0.0,0.0,400,15180.0,0.0,35.96
HK.01928,2019-03-18 10:04:00,35.96,35.86,35.96,35.86,0.0,0.0,32400,1229060.0,-0.27808676307008184,35.96
HK.01928,2019-03-18 10:05:00,35.86,35.86,35.86,35.86,0.0,0.0,0,0.0,0.0,35.86
HK.01928,2019-03-18 10:06:00,35.86,35.86,35.86,35.86,0.0,0.0,400,15140.0,0.0,35.86
HK.01928,2019-03-18 10:07:00,35.86,35.86,35.86,35.86,0.0,0.0,400,15140.0,0.0,35.86
HK.01928,2019-03-18 10:08:00,35.96,36.06,36.06,35.96,0.0,0.0,104400,3963500.0,0.5577244841048602,35.86
HK.01928,2019-03-18 10:09:00,36.06,36.06,36.06,36.06,0.0,0.0,0,0.0,0.0,36.06
HK.01928,2019-03-18 10:10:00,36.01,36.01,36.06,36.01,0.0,0.0,18000,684040.0,-0.13865779256795413,36.06
HK.01928,2019-03-18 10:11:00,36.01,35.96,36.01,35.96,0.0,0.0,9600,364780.0,-0.13885031935572661,36.01
HK.01928,2019-03-18 10:12:00,35.96,35.96,35.96,35.96,0.0,0.0,400,15180.0,0.0,35.96
HK.01928,2019-03-18 10:13:00,36.01,36.01,36.01,35.96,0.0,0.0,11200,425560.0,0.139043381535031,35.96
HK.01928,2019-03-18 10:14:00,36.01,36.06,36.06,35.96,0.0,0.0,8800,334420.0,0.13885031935574635,36.01
