code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00288,2020-03-06 09:30:00,7.985,7.985,7.985,7.985,0.0,0.0,499000,4141700.0,0.0,8.135
HK.00288,2020-03-06 09:31:00,8.125,7.965,8.125,7.955,0.0,0.0,531500,4408050.0,-0.2504696305573007,7.985
HK.00288,2020-03-06 09:32:00,7.955,7.955,7.965,7.925,0.0,0.0,202500,1673130.0,-0.1255492780916483,7.965
HK.00288,2020-03-06 09:33:00,7.955,7.955,7.965,7.955,0.0,0.0,69000,570835.0,0.0,7.955
HK.00288,2020-03-06 09:34:00,7.945,7.935,7.955,7.935,0.0,0.0,152000,1255640.0,-0.2514142049025828,7.955
HK.00288,2020-03-06 09:35:00,7.935,7.935,7.945,7.925,0.0,0.0,95500,788265.0,0.0,7.935
HK.00288,2020-03-06 09:36:00,7.935,7.945,7.955,7.925,0.0,0.0,176000,1453075.0,0.1260239445494729,7.935
HK.00288,2020-03-06 09:37:00,7.955,7.965,7.985,7.955,0.0,0.0,65500,542345.0,0.2517306482064138,7.945
HK.00288,2020-03-06 09:38:00,7.965,7.975,7.975,7.965,0.0,0.0,18500,153240.0,0.1255492780916483,7.965
HK.00288,2020-03-06 09:39:00,7.975,7.955,7.975,7.945,0.0,0.0,122000,1009375.0,-0.25078369905955583,7.975
HK.00288,2020-03-06 09:40:00,7.965,7.965,7.965,7.955,0.0,0.0,24500,202715.0,0.1257071024512858,7.955
HK.00288,2020-03-06 09:41:00,7.955,7.975,7.975,7.955,0.0,0.0,187000,1547990.0,0.1255492780916483,7.965
HK.00288,2020-03-06 09:42:00,7.975,7.965,7.975,7.965,0.0,0.0,8500,70430.0,-0.12539184952977792,7.975
HK.00288,2020-03-06 09:43:00,7.975,7.985,7.995,7.965,0.0,0.0,120500,999670.0,0.25109855618330773,7.965
HK.00288,2020-03-06 09:44:00,7.985,7.985,7.985,7.975,0.0,0.0,40500,336030.0,0.0,7.985
HK.00288,2020-03-06 09:45:00,7.985,7.965,7.985,7.965,0.0,0.0,63500,526415.0,-0.2504696305573007,7.985
HK.00288,2020-03-06 09:46:00,7.975,7.945,7.975,7.945,0.0,0.0,139500,1154385.0,-0.2510985561832966,7.965
HK.00288,2020-03-06 09:47:00,7.955,7.945,7.955,7.945,0.0,0.0,19500,161100.0,0.0,7.945
HK.00288,2020-03-06 09:48:00,7.955,7.945,7.955,7.945,0.0,0.0,239500,1978945.0,0.0,7.945
HK.00288,2020-03-06 09:49:00,7.955,7.945,7.955,7.945,0.0,0.0,43000,355340.0,0.0,7.945
HK.00288,2020-03-06 09:50:00,7.945,7.955,7.955,7.945,0.0,0.0,137000,1132840.0,0.1258653241032069,7.945
HK.00288,2020-03-06 09:51:00,7.955,7.955,7.955,7.945,0.0,0.0,75000,619700.0,0.0,7.955
HK.00288,2020-03-06 09:52:00,7.945,7.935,7.955,7.935,0.0,0.0,103000,850480.0,-0.2514142049025828,7.955
HK.00288,2020-03-06 09:53:00,7.935,7.915,7.945,7.915,0.0,0.0,120500,993290.0,-0.25204788909892345,7.935
HK.00288,2020-03-06 09:54:00,7.915,7.915,7.915,7.905,0.0,0.0,34500,283840.0,0.0,7.915
HK.00288,2020-03-06 09:55:00,7.905,7.915,7.915,7.905,0.0,0.0,222500,1831055.0,0.0,7.915
HK.00288,2020-03-06 09:56:00,7.915,7.915,7.915,7.905,0.0,0.0,12500,102845.0,0.0,7.915
HK.00288,2020-03-06 09:57:00,7.905,7.915,7.915,7.905,0.0,0.0,56500,464485.0,0.0,7.915
HK.00288,2020-03-06 09:58:00,7.905,7.905,7.915,7.905,0.0,0.0,49500,406915.0,-0.12634238787112806,7.915
HK.00288,2020-03-06 09:59:00,7.905,7.875,7.905,7.865,0.0,0.0,879500,7211775.0,-0.379506641366227,7.905
HK.00288,2020-03-06 10:00:00,7.885,7.925,7.925,7.885,0.0,0.0,296500,2436930.0,0.6349206349206327,7.875
HK.00288,2020-03-06 10:01:00,7.915,7.945,7.945,7.905,0.0,0.0,211000,1737175.0,0.2523659305993749,7.925
HK.00288,2020-03-06 10:02:00,7.935,7.935,7.945,7.925,0.0,0.0,92500,763120.0,-0.12586532410321805,7.945
HK.00288,2020-03-06 10:03:00,7.925,7.925,7.925,7.925,0.0,0.0,34000,280160.0,-0.12602394454946172,7.935
HK.00288,2020-03-06 10:04:00,7.925,7.895,7.925,7.895,0.0,0.0,47500,390465.0,-0.37854889589905677,7.925
HK.00288,2020-03-06 10:05:00,7.885,7.925,7.925,7.885,0.0,0.0,189000,1552865.0,0.3799873337555446,7.895
HK.00288,2020-03-06 10:06:00,7.925,7.915,7.925,7.895,0.0,0.0,59500,489505.0,-0.12618296529968187,7.925
HK.00288,2020-03-06 10:07:00,7.915,7.915,7.915,7.915,0.0,0.0,23500,193405.0,0.0,7.915
HK.00288,2020-03-06 10:08:00,7.915,7.905,7.915,7.885,0.0,0.0,66000,542525.0,-0.12634238787112806,7.915
HK.00288,2020-03-06 10:09:00,7.895,7.905,7.915,7.895,0.0,0.0,688000,5649885.0,0.0,7.905
HK.00288,2020-03-06 10:10:00,7.905,7.915,7.915,7.895,0.0,0.0,50000,411015.0,0.1265022137887386,7.905
HK.00288,2020-03-06 10:11:00,7.915,7.915,7.915,7.915,0.0,0.0,8000,65840.0,0.0,7.915
HK.00288,2020-03-06 10:12:00,7.915,7.905,7.915,7.895,0.0,0.0,51000,419060.0,-0.12634238787112806,7.915
HK.00288,2020-03-06 10:13:00,7.905,7.905,7.925,7.895,0.0,0.0,187500,1542085.0,0.0,7.905
HK.00288,2020-03-06 10:14:00,7.925,7.915,7.925,7.895,0.0,0.0,74500,612450.0,0.1265022137887386,7.905
HK.00288,2020-03-06 10:15:00,7.915,7.895,7.915,7.895,0.0,0.0,39000,320520.0,-0.2526847757422674,7.915
HK.00288,2020-03-06 10:16:00,7.905,7.905,7.905,7.895,0.0,0.0,69500,571275.0,0.12666244458518905,7.895
HK.00288,2020-03-06 10:17:00,7.905,7.905,7.915,7.895,0.0,0.0,49500,406975.0,0.0,7.905
HK.00288,2020-03-06 10:18:00,7.915,7.905,7.915,7.905,0.0,0.0,13500,111030.0,0.0,7.905
HK.00288,2020-03-06 10:19:00,7.905,7.915,7.915,7.905,0.0,0.0,74000,608490.0,0.1265022137887386,7.905
HK.00288,2020-03-06 10:20:00,7.915,7.915,7.915,7.905,0.0,0.0,14500,119325.0,0.0,7.915
HK.00288,2020-03-06 10:21:00,7.915,7.925,7.925,7.915,0.0,0.0,59000,485740.0,0.12634238787112806,7.915
HK.00288,2020-03-06 10:22:00,7.925,7.925,7.935,7.915,0.0,0.0,88500,729360.0,0.0,7.925
HK.00288,2020-03-06 10:23:00,7.925,7.925,7.925,7.925,0.0,0.0,5500,45320.0,0.0,7.925
HK.00288,2020-03-06 10:24:00,7.925,7.915,7.925,7.905,0.0,0.0,81000,666515.0,-0.12618296529968187,7.925
HK.00288,2020-03-06 10:25:00,7.905,7.915,7.915,7.905,0.0,0.0,126500,1040095.0,0.0,7.915
HK.00288,2020-03-06 10:26:00,7.915,7.925,7.925,7.905,0.0,0.0,28000,230505.0,0.12634238787112806,7.915
HK.00288,2020-03-06 10:27:00,7.925,7.925,7.925,7.915,0.0,0.0,5500,45305.0,0.0,7.925
HK.00288,2020-03-06 10:28:00,7.925,7.915,7.925,7.915,0.0,0.0,90000,740790.0,-0.12618296529968187,7.925
HK.00288,2020-03-06 10:29:00,7.915,7.915,7.915,7.915,0.0,0.0,17500,144025.0,0.0,7.915
HK.00288,2020-03-06 10:30:00,7.915,7.915,7.915,7.905,0.0,0.0,14500,119295.0,0.0,7.915
HK.00288,2020-03-06 10:31:00,7.915,7.915,7.915,7.905,0.0,0.0,73000,600765.0,0.0,7.915
HK.00288,2020-03-06 10:32:00,7.915,7.935,7.935,7.915,0.0,0.0,114500,943260.0,0.2526847757422561,7.915
HK.00288,2020-03-06 10:33:00,7.935,7.935,7.945,7.925,0.0,0.0,76500,631205.0,0.0,7.935
HK.00288,2020-03-06 10:34:00,7.935,7.945,7.945,7.925,0.0,0.0,103500,854155.0,0.1260239445494729,7.935
HK.00288,2020-03-06 10:35:00,7.945,7.945,7.945,7.935,0.0,0.0,99500,821285.0,0.0,7.945
HK.00288,2020-03-06 10:36:00,7.945,7.945,7.945,7.945,0.0,0.0,13500,111510.0,0.0,7.945
HK.00288,2020-03-06 10:37:00,7.945,7.945,7.945,7.935,0.0,0.0,12000,99100.0,0.0,7.945
HK.00288,2020-03-06 10:38:00,7.945,7.945,7.945,7.935,0.0,0.0,45000,371680.0,0.0,7.945
HK.00288,2020-03-06 10:39:00,7.945,7.975,7.985,7.935,0.0,0.0,530000,4387020.0,0.3775959723096206,7.945
HK.00288,2020-03-06 10:40:00,8.005,7.975,8.005,7.965,0.0,0.0,118500,982620.0,0.0,7.975
HK.00288,2020-03-06 10:41:00,7.975,7.975,7.975,7.965,0.0,0.0,107000,886930.0,0.0,7.975
HK.00288,2020-03-06 10:42:00,7.965,7.965,7.975,7.955,0.0,0.0,56500,467775.0,-0.12539184952977792,7.975
HK.00288,2020-03-06 10:43:00,7.965,7.965,7.965,7.955,0.0,0.0,19000,157215.0,0.0,7.965
HK.00288,2020-03-06 10:44:00,7.965,7.965,7.965,7.955,0.0,0.0,15000,124175.0,0.0,7.965
HK.00288,2020-03-06 10:45:00,7.955,7.955,7.965,7.955,0.0,0.0,14000,115835.0,-0.1255492780916483,7.965
HK.00288,2020-03-06 10:46:00,7.965,7.955,7.965,7.945,0.0,0.0,91500,756720.0,0.0,7.955
HK.00288,2020-03-06 10:47:00,7.945,7.995,7.995,7.945,0.0,0.0,217500,1800675.0,0.5028284098051544,7.955
HK.00288,2020-03-06 10:48:00,7.995,7.995,7.995,7.995,0.0,0.0,0,0.0,0.0,7.995
HK.00288,2020-03-06 10:49:00,7.985,7.995,7.995,7.975,0.0,0.0,186500,1547865.0,0.0,7.995
HK.00288,2020-03-06 10:50:00,7.985,7.985,7.985,7.985,0.0,0.0,81500,676450.0,-0.125078173858659,7.995
HK.00288,2020-03-06 10:51:00,7.985,7.985,7.985,7.985,0.0,0.0,19000,157700.0,0.0,7.985
HK.00288,2020-03-06 10:52:00,7.985,7.985,7.985,7.985,0.0,0.0,5000,41500.0,0.0,7.985
HK.00288,2020-03-06 10:53:00,7.985,7.985,7.985,7.975,0.0,0.0,71500,593015.0,0.0,7.985
HK.00288,2020-03-06 10:54:00,7.985,7.975,7.985,7.975,0.0,0.0,19000,157570.0,-0.1252348152786559,7.985
HK.00288,2020-03-06 10:55:00,7.975,7.985,7.985,7.975,0.0,0.0,8500,70505.0,0.12539184952978902,7.975
HK.00288,2020-03-06 10:56:00,7.985,7.985,7.985,7.965,0.0,0.0,408500,3386200.0,0.0,7.985
HK.00288,2020-03-06 10:57:00,7.985,7.995,8.005,7.985,0.0,0.0,363500,3018045.0,0.1252348152786448,7.985
HK.00288,2020-03-06 10:58:00,8.005,8.005,8.005,7.995,0.0,0.0,19500,162140.0,0.1250781738586701,7.995
HK.00288,2020-03-06 10:59:00,7.995,8.005,8.015,7.995,0.0,0.0,186500,1551820.0,0.0,8.005
