code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00017,2020-03-20 09:30:00,30.48,30.48,30.48,30.48,0.0,0.0,132000,1054680.0,2.2818791946308714,29.8
HK.00017,2020-03-20 09:31:00,30.48,30.52,30.76,30.36,0.0,0.0,72000,576570.0,0.13123359580052213,30.48
HK.00017,2020-03-20 09:32:00,30.52,30.76,30.84,30.52,0.0,0.0,288000,2319240.0,0.7863695937090498,30.52
HK.00017,2020-03-20 09:33:00,30.84,30.84,30.84,30.76,0.0,0.0,112000,903580.0,0.2600780234070166,30.76
HK.00017,2020-03-20 09:34:00,30.88,30.72,30.88,30.72,0.0,0.0,45000,363340.0,-0.389105058365762,30.84
HK.00017,2020-03-20 09:35:00,30.76,30.6,30.76,30.56,0.0,0.0,92000,738880.0,-0.3906249999999917,30.72
HK.00017,2020-03-20 09:36:00,30.6,30.72,30.72,30.6,0.0,0.0,30000,241140.0,0.3921568627450896,30.6
HK.00017,2020-03-20 09:37:00,30.76,30.68,30.76,30.68,0.0,0.0,37000,297690.0,-0.13020833333333057,30.72
HK.00017,2020-03-20 09:38:00,30.68,30.64,30.72,30.64,0.0,0.0,76000,610580.0,-0.13037809647978862,30.68
HK.00017,2020-03-20 09:39:00,30.68,30.68,30.72,30.68,0.0,0.0,170000,1367010.0,0.13054830287205987,30.64
HK.00017,2020-03-20 09:40:00,30.76,30.6,30.76,30.6,0.0,0.0,47000,377900.0,-0.26075619295957725,30.68
HK.00017,2020-03-20 09:41:00,30.6,30.64,30.68,30.56,0.0,0.0,40000,321010.0,0.13071895424836322,30.6
HK.00017,2020-03-20 09:42:00,30.68,30.68,30.68,30.68,0.0,0.0,12000,96480.0,0.13054830287205987,30.64
HK.00017,2020-03-20 09:43:00,30.68,30.64,30.72,30.64,0.0,0.0,53000,426200.0,-0.13037809647978862,30.68
HK.00017,2020-03-20 09:44:00,30.72,30.8,30.8,30.68,0.0,0.0,74000,596140.0,0.522193211488251,30.64
HK.00017,2020-03-20 09:45:00,30.84,30.68,30.88,30.68,0.0,0.0,78000,629310.0,-0.3896103896103928,30.8
HK.00017,2020-03-20 09:46:00,30.68,30.68,30.68,30.64,0.0,0.0,45000,361750.0,0.0,30.68
HK.00017,2020-03-20 09:47:00,30.72,30.76,30.76,30.68,0.0,0.0,31000,249380.0,0.2607561929595888,30.68
HK.00017,2020-03-20 09:48:00,30.8,30.8,30.8,30.68,0.0,0.0,32000,257850.0,0.1300390117035083,30.76
HK.00017,2020-03-20 09:49:00,30.76,30.88,30.88,30.76,0.0,0.0,47000,379750.0,0.25974025974025416,30.8
