code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00002,2019-02-08 09:30:00,84.69,84.69,84.69,84.69,0.0,0.0,304000,27618400.0,0.0,84.34
HK.00002,2019-02-08 09:31:00,84.39,84.14,84.69,83.99,0.0,0.0,124500,11245525.0,-0.6494273231786483,84.69
HK.00002,2019-02-08 09:32:00,84.14,84.14,84.29,84.09,0.0,0.0,16500,1491150.0,0.0,84.14
HK.00002,2019-02-08 09:33:00,84.19,84.29,84.29,84.19,0.0,0.0,8000,723175.0,0.1782743047302183,84.14
HK.00002,2019-02-08 09:34:00,84.34,84.54,84.74,84.34,0.0,0.0,14500,1313125.0,0.2965950883853363,84.29
HK.00002,2019-02-08 09:35:00,84.59,84.59,84.74,84.54,0.0,0.0,47000,4266575.0,0.05914360066240496,84.54
HK.00002,2019-02-08 09:36:00,84.54,84.49,84.59,84.49,0.0,0.0,15500,1405625.0,-0.1182172833668383,84.59
HK.00002,2019-02-08 09:37:00,84.44,84.34,84.44,84.24,0.0,0.0,14000,1267575.0,-0.17753580305360572,84.49
HK.00002,2019-02-08 09:38:00,84.34,84.34,84.34,84.34,0.0,0.0,0,0.0,0.0,84.34
HK.00002,2019-02-08 09:39:00,84.34,84.44,84.44,84.24,0.0,0.0,15000,1357500.0,0.11856770215792545,84.34
HK.00002,2019-02-08 09:40:00,84.34,84.74,84.74,84.34,0.0,0.0,27000,2448575.0,0.3552818569398356,84.44
HK.00002,2019-02-08 09:41:00,84.69,84.74,84.74,84.64,0.0,0.0,3000,272550.0,0.0,84.74
HK.00002,2019-02-08 09:42:00,84.69,84.74,84.74,84.69,0.0,0.0,10500,954025.0,0.0,84.74
HK.00002,2019-02-08 09:43:00,84.74,84.69,84.74,84.69,0.0,0.0,9000,817925.0,-0.059004012272831204,84.74
HK.00002,2019-02-08 09:44:00,84.74,84.79,84.79,84.69,0.0,0.0,21000,1908600.0,0.11807769512340127,84.69
HK.00002,2019-02-08 09:45:00,84.74,84.69,84.79,84.69,0.0,0.0,20500,1863550.0,-0.11793843613634687,84.79
HK.00002,2019-02-08 09:46:00,84.69,84.69,84.74,84.54,0.0,0.0,23000,2087950.0,0.0,84.69
HK.00002,2019-02-08 09:47:00,84.59,84.74,84.74,84.59,0.0,0.0,13500,1226225.0,0.05903884756169224,84.69
HK.00002,2019-02-08 09:48:00,84.69,84.69,84.79,84.69,0.0,0.0,4000,363475.0,-0.059004012272831204,84.74
HK.00002,2019-02-08 09:49:00,84.79,84.89,84.99,84.79,0.0,0.0,55000,5006125.0,0.23615539024678575,84.69
HK.00002,2019-02-08 09:50:00,84.99,85.14,85.14,84.99,0.0,0.0,41000,3740275.0,0.29449876310519496,84.89
HK.00002,2019-02-08 09:51:00,85.14,85.19,85.19,85.09,0.0,0.0,7500,684850.0,0.058726802912846085,85.14
HK.00002,2019-02-08 09:52:00,85.19,85.19,85.19,85.19,0.0,0.0,4000,365400.0,0.0,85.19
HK.00002,2019-02-08 09:53:00,85.14,85.19,85.19,85.14,0.0,0.0,8000,730700.0,0.0,85.19
HK.00002,2019-02-08 09:54:00,85.24,85.29,85.29,85.19,0.0,0.0,4500,411400.0,0.1173846695621652,85.19
