code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00241,2019-11-01 09:30:00,8.01,8.01,8.01,8.01,0.0,0.0,84000,672840.0,0.0,7.91
HK.00241,2019-11-01 09:31:00,8.0,7.93,8.02,7.93,0.0,0.0,68000,543160.0,-0.9987515605493142,8.01
HK.00241,2019-11-01 09:32:00,7.94,7.91,7.95,7.91,0.0,0.0,86000,682140.0,-0.2522068095838534,7.93
HK.00241,2019-11-01 09:33:00,7.91,7.92,7.92,7.9,0.0,0.0,42000,332180.0,0.12642225031605292,7.91
HK.00241,2019-11-01 09:34:00,7.92,7.92,7.92,7.92,0.0,0.0,14000,110880.0,0.0,7.92
HK.00241,2019-11-01 09:35:00,7.93,7.92,7.93,7.92,0.0,0.0,12000,95120.0,0.0,7.92
HK.00241,2019-11-01 09:36:00,7.9,7.93,7.93,7.9,0.0,0.0,14000,110960.0,0.12626262626262355,7.92
HK.00241,2019-11-01 09:37:00,7.93,7.94,7.94,7.93,0.0,0.0,20000,158640.0,0.1261034047919379,7.93
HK.00241,2019-11-01 09:38:00,7.93,7.93,7.93,7.93,0.0,0.0,2000,15860.0,-0.12594458438288003,7.94
HK.00241,2019-11-01 09:39:00,7.92,7.92,7.92,7.91,0.0,0.0,8000,63340.0,-0.1261034047919267,7.93
HK.00241,2019-11-01 09:40:00,7.92,7.92,7.92,7.92,0.0,0.0,0,0.0,0.0,7.92
HK.00241,2019-11-01 09:41:00,7.91,7.9,7.91,7.9,0.0,0.0,48000,379420.0,-0.2525252525252471,7.92
HK.00241,2019-11-01 09:42:00,7.88,7.91,7.92,7.88,0.0,0.0,18000,142160.0,0.12658227848100995,7.9
HK.00241,2019-11-01 09:43:00,7.91,7.94,7.94,7.91,0.0,0.0,92000,728660.0,0.37926675094817003,7.91
HK.00241,2019-11-01 09:44:00,7.94,7.94,7.94,7.94,0.0,0.0,0,0.0,0.0,7.94
HK.00241,2019-11-01 09:45:00,7.94,7.92,7.94,7.92,0.0,0.0,48000,380420.0,-0.25188916876574885,7.94
HK.00241,2019-11-01 09:46:00,7.93,7.95,7.95,7.93,0.0,0.0,30000,238260.0,0.3787878787878819,7.92
HK.00241,2019-11-01 09:47:00,7.96,7.99,8.0,7.96,0.0,0.0,84000,670700.0,0.5031446540880508,7.95
HK.00241,2019-11-01 09:48:00,7.98,7.98,7.98,7.98,0.0,0.0,6000,47880.0,-0.12515644555694352,7.99
HK.00241,2019-11-01 09:49:00,7.98,7.98,7.98,7.98,0.0,0.0,10000,79800.0,0.0,7.98
HK.00241,2019-11-01 09:50:00,7.97,7.97,7.97,7.97,0.0,0.0,30000,239100.0,-0.1253132832080285,7.98
HK.00241,2019-11-01 09:51:00,7.97,7.94,7.97,7.94,0.0,0.0,38000,302380.0,-0.37641154328731946,7.97
HK.00241,2019-11-01 09:52:00,7.92,7.92,7.92,7.92,0.0,0.0,4000,31680.0,-0.25188916876574885,7.94
HK.00241,2019-11-01 09:53:00,7.93,7.93,7.93,7.93,0.0,0.0,0,0.0,0.12626262626262355,7.92
HK.00241,2019-11-01 09:54:00,7.94,7.96,7.96,7.94,0.0,0.0,54000,428960.0,0.3783102143757913,7.93
HK.00241,2019-11-01 09:55:00,7.95,7.93,7.95,7.93,0.0,0.0,16000,127060.0,-0.3768844221105559,7.96
HK.00241,2019-11-01 09:56:00,7.94,7.94,7.94,7.94,0.0,0.0,2000,15880.0,0.1261034047919379,7.93
HK.00241,2019-11-01 09:57:00,7.94,7.94,7.94,7.94,0.0,0.0,0,0.0,0.0,7.94
