    ,code    ,time_key            ,open ,close,high ,low  ,pe_ratio,turnover_rate,volume ,turnover          ,change_rate         ,last_close,%k                ,%d                ,%j
19  ,HK.00700,2021-01-04  11:15:00,580.0,579.5,580.0,579.0,0.0     ,0.0          ,226500 ,131301750.0       ,0.0                 ,579.5     ,80.86249383196892 ,78.01449010616764 ,86.55850128357147
20  ,HK.00700,2021-01-04  11:20:00,579.5,579.0,580.0,578.5,0.0     ,0.0          ,227000 ,131532050.0       ,-0.08628127696289906,579.5     ,78.4983904264111  ,78.13575360040903 ,79.22366407841525
21  ,HK.00700,2021-01-04  11:25:00,579.0,579.5,580.0,579.0,0.0     ,0.0          ,352300 ,204226900.0       ,0.08635578583765112 ,579.0     ,80.30558793944    ,78.67918155560272 ,83.55840070711457
22  ,HK.00700,2021-01-04  11:30:00,579.5,582.0,582.5,579.5,0.0     ,0.0          ,690000 ,400803600.0       ,0.4314063848144953  ,579.5     ,83.14966258083051 ,79.79829902885797 ,89.85238968477557
23  ,HK.00700,2021-01-04  11:35:00,581.5,582.0,582.5,581.0,0.0     ,0.0          ,164400 ,95676200.0        ,0.0                 ,582.0     ,85.28105222006262 ,81.1703640447283  ,93.50242857073124
24  ,HK.00700,2021-01-04  11:40:00,582.0,581.5,583.0,581.5,0.0     ,0.0          ,169900 ,98897250.0        ,-0.0859106529209622 ,582.0     ,83.1899847766911  ,81.67564947696553 ,86.21865537614224
25  ,HK.00700,2021-01-04  11:45:00,582.0,581.0,582.0,580.5,0.0     ,0.0          ,105600 ,61386500.0        ,-0.08598452278589853,581.5     ,77.38921458377257 ,80.60343558800636 ,70.96077257530499
26  ,HK.00700,2021-01-04  11:50:00,581.0,580.0,582.0,580.0,0.0     ,0.0          ,115300 ,66987900.0        ,-0.1721170395869191 ,581.0     ,68.03795249532992 ,77.46073449156476 ,49.19238850286021
27  ,HK.00700,2021-01-04  11:55:00,580.5,581.0,581.0,580.0,0.0     ,0.0          ,99100  ,57547500.0        ,0.1724137931034483  ,580.0     ,64.91636222018012 ,74.32364546297946 ,46.10179573458143
28  ,HK.00700,2021-01-04  12:00:00,581.0,580.0,581.5,580.0,0.0     ,0.0          ,177700 ,103171550.0       ,-0.1721170395869191 ,581.0     ,57.01872449626557 ,69.99638485964331 ,31.063403769510074
29  ,HK.00700,2021-01-04  13:05:00,580.0,581.5,582.5,579.5,0.0     ,0.0          ,617500 ,358817850.0       ,0.25862068965517243 ,580.0     ,58.38928813031766 ,67.09409237985457 ,40.97967963124384
30  ,HK.00700,2021-01-04  13:10:00,581.5,579.5,581.5,579.5,0.0     ,0.0          ,212000 ,123108150.0       ,-0.34393809114359414,581.5     ,43.790010720632154,61.267291543344676,8.835449075207109
31  ,HK.00700,2021-01-04  13:15:00,580.0,581.0,581.5,579.5,0.0     ,0.0          ,272000 ,157930300.0       ,0.25884383088869717 ,579.5     ,43.55677032519633 ,56.839216427920974,16.991878119747042
32  ,HK.00700,2021-01-04  13:20:00,581.0,580.5,581.5,580.5,0.0     ,0.0          ,224000 ,130124800.0       ,-0.08605851979345955,581.0     ,39.81015261912677 ,52.581629712037426,14.267198433305452
33  ,HK.00700,2021-01-04  13:25:00,580.5,580.0,581.0,580.0,0.0     ,0.0          ,271000 ,157271850.0       ,-0.08613264427217916,580.5     ,34.02395418482325 ,47.941948667425166,6.187965219619429
34  ,HK.00700,2021-01-04  13:30:00,580.5,581.5,581.5,579.5,0.0     ,0.0          ,259000 ,150373050.0       ,0.25862068965517243 ,580.0     ,42.18497815615388 ,46.502645044270025,33.5496443799216
35  ,HK.00700,2021-01-04  13:35:00,581.0,580.5,581.5,579.0,0.0     ,0.0          ,381500 ,221348850.0       ,-0.17196904557179707,581.5     ,42.35302467255385 ,45.46520697764256 ,36.128660062376426
36  ,HK.00700,2021-01-04  13:40:00,580.0,577.0,580.5,576.5,0.0     ,0.0          ,312200 ,180531650.0       ,-0.602928509905254  ,580.5     ,33.84789909399834 ,42.560810772224166,16.422075737546706
37  ,HK.00700,2021-01-04  13:45:00,577.0,579.0,579.5,577.0,0.0     ,0.0          ,320600 ,185327950.0       ,0.3466204506065858  ,577.0     ,35.80262593450221 ,40.87123435591524 ,25.665409091676153
38  ,HK.00700,2021-01-04  13:50:00,579.5,579.0,579.5,578.5,0.0     ,0.0          ,217900 ,126149600.0       ,0.0                 ,579.0     ,39.352017043881936,40.49142493512587 ,37.07320126139406
39  ,HK.00700,2021-01-04  13:55:00,578.5,578.5,579.5,577.5,0.0     ,0.0          ,250700 ,144997100.0       ,-0.08635578583765112,579.0     ,39.51401441205178 ,40.24706984697959 ,38.04790354219615
40  ,HK.00700,2021-01-04  14:00:00,578.5,579.5,579.5,578.5,0.0     ,0.0          ,83500  ,48355300.0        ,0.17286084701815038 ,578.5     ,44.6355494379037  ,41.3441980197328  ,51.218252274245486
41  ,HK.00700,2021-01-04  14:05:00,579.0,579.0,579.5,578.5,0.0     ,0.0          ,81900  ,47415950.0        ,-0.08628127696289906,579.5     ,45.976669664915775,42.502322482340766,52.92536403006578
42  ,HK.00700,2021-01-04  14:10:00,579.0,579.5,580.0,579.0,0.0     ,0.0          ,142200 ,82376200.0        ,0.08635578583765112 ,579.0     ,49.482517122671915,44.247378546036565,59.95279427594262
43  ,HK.00700,2021-01-04  14:15:00,579.5,580.0,581.0,579.0,0.0     ,0.0          ,278300 ,161423150.0       ,0.08628127696289906 ,579.5     ,54.61190416354115 ,46.83851819533201 ,70.15867609995944
44  ,HK.00700,2021-01-04  14:20:00,580.0,580.0,580.5,579.5,0.0     ,0.0          ,151500 ,87862700.0        ,0.0                 ,580.0     ,60.40338638832669 ,50.22974333665402 ,80.75067249167203
45  ,HK.00700,2021-01-04  14:25:00,579.5,580.5,580.5,579.0,0.0     ,0.0          ,124100 ,71962050.0        ,0.08620689655172414 ,580.0     ,67.1775519160265  ,54.46670306504535 ,92.59924961798879
46  ,HK.00700,2021-01-04  14:30:00,580.5,579.0,580.5,578.0,0.0     ,0.0          ,194700 ,112751200.0       ,-0.25839793281653745,580.5     ,61.09744148941355 ,56.124389896403066,71.04354467543452
47  ,HK.00700,2021-01-04  14:35:00,578.5,578.5,579.0,577.0,0.0     ,0.0          ,281600 ,162723000.0       ,-0.08635578583765112,579.0     ,55.19807517761323 ,55.892810983553325,53.80860356573304
48  ,HK.00700,2021-01-04  14:40:00,578.0,577.0,579.0,576.5,0.0     ,0.0          ,219700 ,126847650.0       ,-0.25929127052722556,578.5     ,44.176325838513904,52.963687485525384,26.60160254449096
