,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,%k,%d,%j,MACD,MACD_signal,MACD_hist,CG,FL,FS,AMV0,XX01,UP_bound,LOW_bound,H1,H2,H3,H4,H5,JRH,JRL,MA_3,YTSL,CLOSE_1,CLOSE_2,VAR1,VAR1_REF,VAR2,VAR2_REF,VAR3,VAR3_REF,VAR4,VAR4_REF,VAR5,VAR5_REF,VAR6,VAR6_REF,VAR7,VAR7_REF,VAR8,VAR8_REF,VAR9,VAR9_REF,VARA,VARA_REF,VARB,VARB_REF,VARC,VARC_REF,VARD,VARD_REF,VARE,VARE_REF,VARF,VARF_REF,VAR10,VAR10_REF,VAR11,VAR11_REF,VAR12,VAR12_REF,VAR13,VAR13_REF,VAR14,VAR14_REF,VAR15,VAR15_REF,VAR16,VAR16_REF,VAR17,VAR17_REF,VAR18,VAR18_REF,VAR19,VAR1A,RED_HOLD,BLUE_WATCH
0,HK.09988,2020-01-02 00:00:00,208.0,210.0,211.0,208.0,46.052,0.00044,9516678,1999240664.0,0.9615384615384616,207.2,66.66666666666666,66.66666666666666,66.66666666666666,0.0,0.0,0.0,,,,1988985702.0,,,,,,,,,,,,209.5,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,HK.09988,2020-01-03 00:00:00,215.0,212.0,215.0,211.2,46.491,0.00053,11307103,2407183770.0,0.9523809523809524,210.0,61.224489795918366,63.556851311953345,56.5597667638484,0.15954415954414003,0.031908831908828005,0.25527065527062404,,,,2414066490.5,,,,,,,,,212.0,210.0,,212.86666666666667,210.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,HK.09988,2020-01-06 00:00:00,211.0,211.0,211.8,209.2,46.271,0.00053,11303411,2381117912.0,-0.4716981132075472,212.0,53.28185328185329,59.11360892055873,41.61834200444241,0.2029528981096007,0.06611764514898255,0.2736705059212363,,,,2385019721.0,,,,,,,,,212.0,211.0,211.0,210.83333333333334,212.0,210.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,HK.09988,2020-01-07 00:00:00,211.8,212.6,214.0,211.6,46.622,0.00054,11676599,2486592839.0,0.7582938388625565,211.0,57.82857142857141,58.64365235206051,56.19840958159318,0.3622850676624694,0.12535112965167994,0.47386787602157887,,,,2477774307.7999997,,,,,,,,,212.6,211.0,211.86666666666667,212.53333333333333,211.0,212.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4,HK.09988,2020-01-08 00:00:00,210.0,210.8,211.6,207.8,46.228,0.0007,15095573,3163855655.0,-0.8466603951081764,212.6,52.53094323516859,56.639998659455735,44.31283238659431,0.3393996156863466,0.16816082685861328,0.3424775776554666,,,,3176108559.2000003,,,,,,,,,212.6,210.8,211.46666666666667,210.29999999999998,212.6,211.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5,HK.09988,2020-01-09 00:00:00,214.0,215.6,215.8,213.2,47.28,0.00057,12261435,2629511294.0,2.2770398481973357,210.8,66.20730620730615,59.549687679057406,79.52254326380363,0.7005075992870218,0.27463018134429495,0.8517548358854536,,,,2633756238.0,,,,,,,,,215.6,210.8,213.0,214.96666666666667,210.8,212.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6,HK.09988,2020-01-10 00:00:00,216.6,218.0,219.0,216.4,47.807,0.00055,11860220,2585804054.0,1.113172541743973,215.6,73.38089536018671,63.540152330878605,93.06238141880293,1.1668969585264222,0.45308353678072044,1.4276268434914035,,,,2577225806.0,,,,,,,,,218.0,215.6,214.79999999999998,217.66666666666666,215.6,210.8,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
7,HK.09988,2020-01-13 00:00:00,219.8,222.8,224.6,219.6,48.859,0.00082,17692255,3930617128.0,2.2018348623853266,218.0,77.79945497486827,67.50156673561158,98.39523145338165,1.901909739029918,0.74284877723056,2.3181219235987163,,,,3915296031.5,,,,,,,,,222.8,218.0,218.80000000000004,222.0666666666667,218.0,215.6,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
8,HK.09988,2020-01-14 00:00:00,225.0,223.6,227.4,222.8,49.035,0.00078,16784465,3771477930.0,0.3590664272890408,222.8,78.55973807359211,70.49053534007123,94.69814354063388,2.5199179318571225,1.0982626081558724,2.8433106474025003,,,,3764755499.5,,,,,,,,,223.6,222.8,221.46666666666667,224.33333333333334,222.8,218.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
9,HK.09988,2020-01-15 00:00:00,220.2,220.8,221.6,218.2,48.421,0.00101,21735164,4780256003.0,-1.2522361359570586,223.6,75.31893520843795,71.76966774888183,82.41747012755019,2.7520335480965628,1.4290167961440106,2.6460335039051044,,,,4792603662.0,,,,,,,,,223.6,220.8,222.4,220.4,223.6,222.8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
