List of Securities,,,,,,,,,,,,,,,,,,,,
Updated as at 06/03/2023,,,,,,,,,,,,,,,,,,,,
Stock Code,Name of Securities,Category,Sub-Category,Board Lot,Par Value,ISIN,Expiry Date,Subject to Stamp Duty,Shortsell Eligible,CAS Eligible,VCM Eligible,Admitted to Stock Options,Admitted to Stock Futures,Admitted to CCASS,ETF / Fund Manager,Debt Securities Board Lot (Nominal),Debt Securities Investor Type,POS Eligble,"Spread Table
1, 4 = Part A
3 = Part B
5 = Part D",
00001,CKH HOLDINGS,Equity,Equity Securities (Main Board),500,HKD 1.0000,KYG217651051,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1 ,
00002,CLP HOLDINGS,Equity,Equity Securities (Main Board),500, ,HK0002007356,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1 ,
00003,HK & CHINA GAS,Equity,Equity Securities (Main Board),"1,000", ,HK0003000038,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1 ,
00004,WHARF HOLDINGS,Equity,Equity Securities (Main Board),"1,000", ,HK0004000045,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1 ,
00005,HSBC HOLDINGS,Equity,Equity Securities (Main Board),400,USD 0.5000,GB0005405286,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1 ,
00006,POWER ASSETS,Equity,Equity Securities (Main Board),500, ,HK0006000050,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1 ,
00007,WISDOM WEALTH,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG4643R1088,,Y, ,Y, , , ,Y,,,,Y,1 ,
00008,PCCW,Equity,Equity Securities (Main Board),"1,000", ,HK0008011667,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00009,KEYNE LTD,Equity,Equity Securities (Main Board),"6,000",HKD 0.0100,BMG525871056,,Y, ,Y, , , ,Y,,,,Y,1 ,
00010,HANG LUNG GROUP,Equity,Equity Securities (Main Board),"1,000", ,HK0010000088,,Y,Y,Y, , , ,Y,,,,Y,1 ,
00011,HANG SENG BANK,Equity,Equity Securities (Main Board),100, ,HK0011000095,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1 ,
00012,HENDERSON LAND,Equity,Equity Securities (Main Board),"1,000", ,HK0012000102,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1 ,
00013,HUTCHMED,Equity,Equity Securities (Main Board),500,USD 0.1000,KYG4672N1198,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00014,HYSAN DEV,Equity,Equity Securities (Main Board),"1,000", ,HK0014000126,,Y,Y,Y,Y, , ,Y,,,,Y,1 ,
00016,SHK PPT,Equity,Equity Securities (Main Board),500, ,HK0016000132,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1 ,
00017,NEW WORLD DEV,Equity,Equity Securities (Main Board),"1,000", ,HK0000608585,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1 ,
00018,ORIENTAL E H,Equity,Equity Securities (Main Board),"2,000", ,HK0018000155,,Y, ,Y, , , ,Y,,,,Y,1 ,
00019,SWIRE PACIFIC A,Equity,Equity Securities (Main Board),500, ,HK0019000162,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1 ,
00020,SENSETIME-W,Equity,Equity Securities (Main Board),"1,000",USD 0.000000025,KYG8062L1041,,Y,Y,Y,Y,Y, ,Y,,,,Y,1 ,
00021,GREAT CHI HLDGS,Equity,Equity Securities (Main Board),"5,000", ,HK0000132420,,Y, ,Y, , , ,Y,,,,Y,1 ,
00022,MEXAN,Equity,Equity Securities (Main Board),"40,000",HKD 0.0200,BMG6051D1175,,Y, ,Y, , , ,Y,,,,Y,1 ,
00023,BANK OF E ASIA,Equity,Equity Securities (Main Board),200, ,HK0023000190,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1 ,
00025,CHEVALIER INT'L,Equity,Equity Securities (Main Board),"2,000",HKD 1.2500,BMG2097Z1471,,Y, ,Y, , , ,Y,,,,Y,1 ,
00026,CHINA MOTOR BUS,Equity,Equity Securities (Main Board),200, ,HK0026000205,,Y, ,Y, , , ,Y,,,,Y,1 ,
00027,GALAXY ENT,Equity,Equity Securities (Main Board),"1,000", ,HK0027032686,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1 ,
00028,TIAN AN,Equity,Equity Securities (Main Board),"1,000", ,HK0028013271,,Y,Y,Y, , , ,Y,,,,Y,1 ,
00029,DYNAMIC HOLD,Equity,Equity Securities (Main Board),"2,000",HKD 1.0000,BMG2889K1678,,Y, ,Y, , , ,Y,,,,Y,1 ,
00030,BAN LOONG HOLD,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,BMG0865U1009,,Y, ,Y, , , ,Y,,,,Y,1 ,
00031,CHINA AEROSPACE,Equity,Equity Securities (Main Board),"2,000", ,HK0031044180,,Y, ,Y, , , ,Y,,,,Y,1 ,
00032,CROSS-HAR(HOLD),Equity,Equity Securities (Main Board),"1,000", ,HK0032009356,,Y, ,Y, , , ,Y,,,,Y,1 ,
00033,INTL GENIUS,Equity,Equity Securities (Main Board),"6,000",HKD 0.0100,KYG0252B1115,,Y, ,Y, , , ,Y,,,,Y,1 ,
00034,KOWLOON DEV,Equity,Equity Securities (Main Board),"1,000", ,HK0034000254,,Y,Y,Y, , , ,Y,,,,Y,1 ,
00035,FE CONSORT INTL,Equity,Equity Securities (Main Board),"1,000",HKD 0.1000,KYG3307Z1090,,Y,Y,Y, , , ,Y,,,,Y,1 ,
00036,FE HLDGS INTL,Equity,Equity Securities (Main Board),"3,000", ,HK0036029863,,Y, ,Y, , , ,Y,,,,Y,1 ,
00037,FE HOTELS,Equity,Equity Securities (Main Board),"2,000", ,HK0037039283,,Y, ,Y, , , ,Y,,,,Y,1 ,
00038,FIRST TRACTOR,Equity,Equity Securities (Main Board),"2,000",RMB 1.0000,CNE100000320,,Y,Y,Y, , , ,Y,,,,Y,1 ,
00039,CH BEIDAHUANG,Equity,Equity Securities (Main Board),"8,000",HKD 0.1000,KYG2117W1087,,Y, ,Y, , , ,Y,,,,Y,1 ,
00040,GOLD PEAK,Equity,Equity Securities (Main Board),"1,000", ,HK0040000298,,Y, ,Y, , , ,Y,,,,Y,1 ,
00041,GREAT EAGLE H,Equity,Equity Securities (Main Board),"1,000",HKD 0.5000,BMG4069C1486,,Y,Y,Y, , , ,Y,,,,Y,1 ,
00042,NE ELECTRIC,Equity,Equity Securities (Main Board),"2,000",RMB 1.0000,CNE1000003V0,,Y, ,Y, , , ,Y,,,,Y,1 ,
00045,HK&S HOTELS,Equity,Equity Securities (Main Board),500, ,HK0045000319,,Y,Y,Y, , , ,Y,,,,Y,1 ,
