code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.01038,2019-12-18 09:30:00,53.94,53.94,53.94,53.94,0.0,0.0,69000,3891600.0,-0.18504811250925504,54.04
HK.01038,2019-12-18 09:31:00,53.89,53.94,53.99,53.74,0.0,0.0,48000,2705900.0,0.0,53.94
HK.01038,2019-12-18 09:32:00,53.89,53.99,53.99,53.89,0.0,0.0,6000,338400.0,0.09269558769003386,53.94
HK.01038,2019-12-18 09:33:00,53.94,53.84,53.94,53.84,0.0,0.0,1000,56350.0,-0.27782922763474455,53.99
HK.01038,2019-12-18 09:34:00,53.89,53.89,53.99,53.89,0.0,0.0,16000,902625.0,0.09286775631500215,53.84
HK.01038,2019-12-18 09:35:00,53.94,53.94,53.99,53.94,0.0,0.0,7500,423075.0,0.0927815921321157,53.89
HK.01038,2019-12-18 09:36:00,53.94,53.94,53.94,53.94,0.0,0.0,1500,84600.0,0.0,53.94
HK.01038,2019-12-18 09:37:00,53.94,53.94,53.94,53.94,0.0,0.0,3500,197400.0,0.0,53.94
HK.01038,2019-12-18 09:38:00,53.94,53.94,53.94,53.94,0.0,0.0,2000,112800.0,0.0,53.94
HK.01038,2019-12-18 09:39:00,53.94,53.84,53.94,53.84,0.0,0.0,9000,507275.0,-0.18539117538004138,53.94
HK.01038,2019-12-18 09:40:00,53.84,53.84,53.89,53.84,0.0,0.0,3500,197125.0,0.0,53.84
HK.01038,2019-12-18 09:41:00,53.84,53.79,53.84,53.79,0.0,0.0,2000,112575.0,-0.09286775631501534,53.84
HK.01038,2019-12-18 09:42:00,53.79,53.74,53.79,53.74,0.0,0.0,3500,196775.0,-0.09295408068413676,53.79
HK.01038,2019-12-18 09:43:00,53.79,53.74,53.79,53.74,0.0,0.0,4000,224900.0,0.0,53.74
HK.01038,2019-12-18 09:44:00,53.74,53.69,53.79,53.69,0.0,0.0,19000,1067800.0,-0.0930405656866473,53.74
HK.01038,2019-12-18 09:45:00,53.74,53.94,53.94,53.74,0.0,0.0,27500,1546900.0,0.46563605885639786,53.69
HK.01038,2019-12-18 09:46:00,53.84,53.79,53.84,53.79,0.0,0.0,2500,140725.0,-0.27808676307007524,53.94
HK.01038,2019-12-18 09:47:00,53.84,53.94,53.94,53.84,0.0,0.0,8500,479350.0,0.27886224205242344,53.79
