code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00700,2022-01-03 00:00:00,446.28188,429.9758,449.3878,408.6226,22.357,0.00986,97587073,41545747278.0,-3.021015761821362,443.37008
HK.00700,2022-01-10 00:00:00,434.8288,459.48204,471.7116,429.39344,23.893,0.01003,99187979,44995851935.0,6.862302483069975,429.9758
HK.00700,2022-01-17 00:00:00,458.1232,474.8,478.4,436.77,23.964,0.01145,111693878,51026847048.0,3.333745101331932,459.48204
HK.00700,2022-01-24 00:00:00,470.0,460.0,476.6,455.6,23.217,0.01007,96829780,45036610794.0,-3.1171019376579636,474.8
HK.00700,2022-01-31 00:00:00,461.4,479.0,483.0,459.0,24.176,0.00285,27360000,12973577208.0,4.130434782608695,460.0
HK.00700,2022-02-07 00:00:00,482.0,477.0,488.0,469.0,24.075,0.00956,91833786,43841047006.0,-0.41753653444676403,479.0
HK.00700,2022-02-14 00:00:00,470.2,470.0,482.8,465.4,23.709,0.00791,75917150,35950344487.0,-1.4675052410901468,477.0
HK.00700,2022-02-21 00:00:00,464.2,424.0,466.8,420.2,21.389,0.01628,156346679,68741119131.0,-9.787234042553191,470.0
HK.00700,2022-02-28 00:00:00,420.0,403.2,439.0,400.0,20.34,0.01267,121593142,50593201150.0,-4.905660377358493,424.0
HK.00700,2022-03-07 00:00:00,389.0,367.8,398.8,360.0,18.554,0.01852,177847345,67653634202.0,-8.7797619047619,403.2
HK.00700,2022-03-14 00:00:00,353.0,381.0,401.0,297.0,19.283,0.04169,400452473,138150861290.0,3.5889070146818893,367.8
HK.00700,2022-03-21 00:00:00,392.2,356.4,403.6,351.0,12.458,0.01968,189194490,71205655313.0,-6.456692913385832,381.0
HK.00700,2022-03-28 00:00:00,358.0,378.8,388.6,354.0,13.241,0.0108,103873412,38927391839.0,6.285072951739629,356.4
HK.00700,2022-04-04 00:00:00,388.8,369.6,391.0,366.0,12.919,0.0071,68268405,25833528865.0,-2.428722280887009,378.8
HK.00700,2022-04-11 00:00:00,366.0,374.4,379.0,353.0,13.088,0.00895,86001201,31560819931.0,1.2987012987012863,369.6
